srno,cluster
0,1
1,2
2,0
3,0
4,2
5,1
6,1
7,0
8,1
9,2
10,0
11,0
12,2
13,2
14,2
15,1
16,0
17,0
18,1
19,2
20,0
21,1
22,0
23,2
24,1
25,0
26,1
27,0
28,1
29,2
30,2
31,1
32,0
33,0
34,1
35,2
36,0
37,2
38,0
39,0
40,2
41,1
42,0
43,1
44,1
45,0
46,1
47,2
48,2
49,1
50,0
51,1
52,1
53,0
54,2
55,0
56,1
57,0
58,0
59,2
60,0
61,2
62,0
63,2
64,0
65,1
66,1
67,1
68,2
69,0
70,0
71,2
72,1
73,0
74,2
75,2
76,0
77,2
78,2
79,2
80,0
81,2
82,2
83,0
84,1
85,0
86,0
87,2
88,1
89,1
90,1
91,2
92,0
93,0
94,0
95,1
96,0
97,1
98,2
99,1
100,0
101,0
102,0
103,0
104,2
105,0
106,2
107,0
108,1
109,1
110,2
111,2
112,1
113,0
114,1
115,0
116,0
117,1
118,1
119,2
120,2
121,0
122,0
123,2
124,2
125,2
126,0
127,2
128,0
129,2
130,1
131,0
132,2
133,0
134,2
135,0
136,2
137,2
138,0
139,0
140,1
141,1
142,2
143,0
144,0
145,2
146,0
147,2
148,2
149,0
150,0
151,2
152,1
153,1
154,2
155,2
156,0
157,1
158,0
159,0
160,2
161,2
162,2
163,0
164,2
165,0
166,1
167,2
168,0
169,0
170,0
171,2
172,0
173,1
174,0
175,0
176,2
177,2
178,2
179,1
180,2
181,2
182,2
183,2
184,0
185,1
186,2
187,1
188,0
189,1
190,1
191,1
192,1
193,0
194,0
195,0
196,2
197,2
198,1
199,0
200,0
201,1
202,0
203,2
204,2
205,2
206,1
207,1
208,2
209,1
210,0
211,1
212,1
213,2
214,0
215,2
216,2
217,2
218,1
219,1
220,2
221,0
222,0
223,1
224,2
225,0
226,1
227,1
228,0
229,2
230,0
231,2
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,2
241,0
242,0
243,2
244,1
245,1
246,0
247,1
248,0
249,2
250,0
251,0
252,2
253,2
254,1
255,0
256,0
257,2
258,2
259,0
260,0
261,1
262,2
263,1
264,0
265,2
266,1
267,0
268,0
269,0
270,1
271,0
272,2
273,0
274,0
275,1
276,2
277,2
278,2
279,1
280,0
281,0
282,2
283,0
284,0
285,0
286,0
287,2
288,0
289,1
290,1
291,2
292,2
293,1
294,2
295,2
296,0
297,2
298,0
299,2
300,0
301,0
302,1
303,2
304,2
305,2
306,1
307,0
308,0
309,1
310,0
311,2
312,2
313,2
314,0
315,0
316,0
317,2
318,1
319,0
320,0
321,0
322,1
323,2
324,0
325,1
326,0
327,2
328,2
329,0
330,0
331,0
332,0
333,1
334,1
335,0
336,0
337,2
338,0
339,2
340,0
341,1
342,0
343,0
344,1
345,2
346,2
347,0
348,2
349,1
350,1
351,0
352,0
353,0
354,2
355,0
356,0
357,0
358,0
359,0
360,1
361,2
362,2
363,0
364,0
365,2
366,0
367,1
368,0
369,2
370,2
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,1
379,0
380,0
381,2
382,1
383,0
384,0
385,2
386,2
387,2
388,1
389,0
390,1
391,2
392,2
393,0
394,0
395,2
396,0
397,0
398,0
399,0
400,1
401,2
402,1
403,2
404,2
405,1
406,1
407,0
408,2
409,0
410,2
411,0
412,0
413,0
414,0
415,0
416,2
417,2
418,0
419,2
420,1
421,1
422,0
423,0
424,2
425,1
426,2
427,0
428,2
429,0
430,0
431,1
432,0
433,0
434,0
435,0
436,0
437,1
438,2
439,0
440,2
441,2
442,0
443,1
444,2
445,0
446,2
447,1
448,2
449,0
450,2
451,2
452,1
453,1
454,0
455,0
456,0
457,2
458,0
459,0
460,0
461,0
462,0
463,2
464,2
465,1
466,0
467,0
468,0
469,1
470,2
471,1
472,0
473,0
474,0
475,0
476,1
477,1
478,0
479,1
480,0
481,2
482,2
483,0
484,2
485,1
486,0
487,1
488,2
489,0
490,2
491,0
492,0
493,2
494,0
495,0
496,0
497,0
498,0
499,2
500,0
501,2
502,1
503,0
504,0
505,0
506,1
507,0
508,1
509,0
510,1
511,0
512,2
513,0
514,1
515,0
516,0
517,0
518,2
519,0
520,1
521,1
522,0
523,1
524,1
525,0
526,1
527,1
528,1
529,0
530,0
531,1
532,2
533,1
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,2
542,2
543,0
544,2
545,0
546,0
547,0
548,1
549,2
550,2
551,0
552,2
553,1
554,0
555,0
556,2
557,0
558,0
559,2
560,0
561,0
562,0
563,2
564,2
565,0
566,1
567,2
568,0
569,2
570,2
571,0
572,0
573,2
574,2
575,1
576,0
577,2
578,0
579,2
580,0
581,2
582,2
583,1
584,2
585,0
586,0
587,2
588,2
589,0
590,2
591,2
592,0
593,1
594,2
595,2
596,2
597,0
598,2
599,1
600,0
601,0
602,2
603,0
604,0
605,0
606,2
607,0
608,1
609,2
610,2
611,1
612,2
613,0
614,2
615,1
616,0
617,0
618,0
619,2
620,2
621,2
622,2
623,1
624,2
625,1
626,2
627,2
628,0
629,2
630,0
631,0
632,0
633,2
634,0
635,2
636,0
637,2
638,2
639,0
640,1
641,0
642,0
643,2
644,2
645,0
646,2
647,2
648,1
649,2
650,2
651,0
652,1
653,0
654,2
655,0
656,2
657,0
658,0
659,1
660,0
661,2
662,0
663,0
664,0
665,0
666,0
667,2
668,1
669,2
670,0
671,0
672,1
673,0
674,1
675,1
676,0
677,2
678,1
679,0
680,2
681,2
682,0
683,0
684,1
685,2
686,1
687,0
688,1
689,0
690,2
691,0
692,2
693,2
694,2
695,0
696,0
697,0
698,2
699,1
700,2
701,0
702,0
703,2
704,0
705,0
706,2
707,2
708,2
709,0
710,0
711,0
712,0
713,1
714,0
715,0
716,1
717,0
718,0
719,0
720,2
721,1
722,0
723,0
724,0
725,1
726,2
727,0
728,1
729,0
730,0
731,0
732,0
733,1
734,2
735,0
736,0
737,2
738,1
739,1
740,0
741,1
742,0
743,0
744,0
745,0
746,1
747,0
748,0
749,1
750,0
751,0
752,1
753,2
754,0
755,1
756,0
757,1
758,2
759,2
760,0
761,0
762,2
763,1
764,2
765,0
766,0
767,2
768,2
769,0
770,2
771,0
772,2
773,0
774,2
775,2
776,0
777,1
778,0
779,0
780,0
781,0
782,2
783,2
784,2
785,1
786,2
787,1
788,2
789,1
790,0
791,0
792,1
793,0
794,1
795,1
796,2
797,1
798,0
799,1
800,2
801,0
802,2
803,0
804,0
805,0
806,2
807,2
808,1
809,2
810,0
811,1
812,0
813,2
814,2
815,0
816,0
817,1
818,2
819,2
820,2
821,2
822,0
823,0
824,2
825,2
826,2
827,0
828,1
829,1
830,1
831,0
832,0
833,1
834,2
835,2
836,2
837,0
838,0
839,0
840,0
841,0
842,2
843,0
844,2
845,0
846,1
847,2
848,0
849,0
850,2
851,2
852,1
853,0
854,0
855,0
856,0
857,2
858,0
859,2
860,1
861,0
862,2
863,1
864,0
865,2
866,0
867,0
868,1
869,1
870,2
871,0
872,0
873,0
874,1
875,0
876,2
877,0
878,2
879,0
880,2
881,0
882,1
883,0
884,1
885,2
886,1
887,0
888,1
889,1
890,2
891,2
892,2
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,2
903,0
904,1
905,1
906,2
907,0
908,1
909,1
910,0
911,0
912,1
913,0
914,1
915,0
916,2
917,0
918,0
919,2
920,0
921,2
922,1
923,2
924,0
925,1
926,2
927,0
928,0
929,0
930,1
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,1
939,2
940,0
941,0
942,2
943,0
944,2
945,0
946,2
947,0
948,1
949,2
950,1
951,2
952,0
953,1
954,0
955,2
956,0
957,1
958,2
959,0
960,2
961,1
962,1
